"","reads.in","reads.out"
"NovABWGB16SAB27999-14-9.assembled.fastq.gz",115109,114756
"NovABWGB16SAB28000-14-10.assembled.fastq.gz",91793,91520
"NovABWGB16SAB28001-14-11.assembled.fastq.gz",104024,103688
"NovABWGB16SAB28002-14-12.assembled.fastq.gz",123407,123101
"NovABWGB16SAB28003-8-5.assembled.fastq.gz",72415,72316
"NovABWGB16SAB28004-8-6.assembled.fastq.gz",85807,85640
"NovABWGB16SAB28005-8-7.assembled.fastq.gz",64683,64579
"NovABWGB16SAB28006-8-8.assembled.fastq.gz",87351,87222
"NovABWGB16SAB28007-8-9.assembled.fastq.gz",86260,86125
"NovABWGB16SAB28008-8-10.assembled.fastq.gz",64974,64871
"NovABWGB16SAB28009-8-11.assembled.fastq.gz",78689,78545
"NovABWGB16SAB28010-8-12.assembled.fastq.gz",83516,83388
"NovABWGB16SAB28011-9-5.assembled.fastq.gz",104931,104698
"NovABWGB16SAB28012-9-6.assembled.fastq.gz",49424,49336
"NovABWGB16SAB28013-9-7.assembled.fastq.gz",102254,102049
"NovABWGB16SAB28014-9-8.assembled.fastq.gz",108369,108115
"NovABWGB16SAB28015-9-9.assembled.fastq.gz",45769,45722
"NovABWGB16SAB28016-9-10.assembled.fastq.gz",99842,99581
"NovABWGB16SAB28017-9-11.assembled.fastq.gz",111976,111683
"NovABWGB16SAB28018-9-12.assembled.fastq.gz",53802,53751
"NovABWGB16SAB28019-10-5.assembled.fastq.gz",116471,116271
"NovABWGB16SAB28020-10-6.assembled.fastq.gz",73767,73673
"NovABWGB16SAB28021-10-7.assembled.fastq.gz",103908,103710
"NovABWGB16SAB28022-10-8.assembled.fastq.gz",56863,56794
"NovABWGB16SAB28023-10-9.assembled.fastq.gz",132521,132221
"NovABWGB16SAB28024-10-10.assembled.fastq.gz",110338,110135
"NovABWGB16SAB28025-10-11.assembled.fastq.gz",112631,112408
"NovABWGB16SAB28026-10-12.assembled.fastq.gz",74383,74291
"NovABWGB16SAB28027-11-5.assembled.fastq.gz",128405,128214
"NovABWGB16SAB28028-11-6.assembled.fastq.gz",89112,88973
"NovABWGB16SAB28029-11-7.assembled.fastq.gz",111149,110974
"NovABWGB16SAB28030-11-8.assembled.fastq.gz",46261,46212
"NovABWGB16SAB28031-11-9.assembled.fastq.gz",81035,80945
"NovABWGB16SAB28032-11-10.assembled.fastq.gz",119921,119682
"NovABWGB16SAB28033-11-11.assembled.fastq.gz",55322,55252
"NovABWGB16SAB28034-11-12.assembled.fastq.gz",82798,82726
"NovABWGB16SAB28035-12-5.assembled.fastq.gz",84759,84657
"NovABWGB16SAB28036-12-6.assembled.fastq.gz",87013,86878
"NovABWGB16SAB28037-12-7.assembled.fastq.gz",82772,82669
"NovABWGB16SAB28038-12-8.assembled.fastq.gz",86016,85926
"NovABWGB16SAB28039-12-9.assembled.fastq.gz",82595,82491
"NovABWGB16SAB28040-12-10.assembled.fastq.gz",82123,82004
"NovABWGB16SAB28041-12-11.assembled.fastq.gz",80803,80673
"NovABWGB16SAB28042-12-12.assembled.fastq.gz",80757,80645
"NovABWGB16SAB28043-13-5.assembled.fastq.gz",120039,119734
"NovABWGB16SAB28044-13-6.assembled.fastq.gz",82928,82799
"NovABWGB16SAB28045-13-7.assembled.fastq.gz",128787,128497
